# x_m,y_m,w_tr_right_m,w_tr_left_m
42.4000,-87.5000,0.8050,0.8050
42.1000,-86.4500,0.8000,0.8000
41.9000,-85.4000,0.8198,0.8198
41.6000,-84.3500,0.8308,0.8308
41.1500,-83.3000,0.7849,0.7849
40.6500,-82.2500,0.7862,0.7862
39.9000,-81.2000,0.8062,0.8062
38.9000,-80.2500,0.7925,0.7925
37.8500,-79.5500,0.8062,0.8062
36.8000,-79.0500,0.8124,0.8124
35.7500,-78.7500,0.8012,0.8012
34.7000,-78.6000,0.8308,0.8308
33.6500,-78.5500,0.8000,0.8000
32.6000,-78.5000,0.8500,0.8500
31.5500,-78.5000,0.8000,0.8000
30.5000,-78.4500,0.8500,0.8500
29.4500,-78.5000,0.8308,0.8308
28.4000,-78.6000,0.8500,0.8500
27.3500,-78.8000,0.7962,0.7962
26.3000,-79.0500,0.8198,0.8198
25.2500,-79.4500,0.8296,0.8296
24.2000,-80.0000,0.8296,0.8296
23.1500,-80.7000,0.8259,0.8259
22.1000,-81.5500,0.8259,0.8259
21.1000,-82.5500,0.8512,0.8512
20.3000,-83.6000,0.8308,0.8308
19.6500,-84.6500,0.8296,0.8296
19.1000,-85.7000,0.8124,0.8124
18.7000,-86.7500,0.7962,0.7962
18.3000,-87.8000,0.8308,0.8308
17.9500,-88.8500,0.8124,0.8124
17.6000,-89.9000,0.8198,0.8198
17.2000,-90.9500,0.8124,0.8124
16.8500,-92.0000,0.8308,0.8308
16.4500,-93.0500,0.8198,0.8198
16.1000,-94.1000,0.8296,0.8296
15.7000,-95.1500,0.8124,0.8124
15.3500,-96.2000,0.8198,0.8198
14.9500,-97.2500,0.8062,0.8062
14.5500,-98.3000,0.8062,0.8062
14.2000,-99.3500,0.8296,0.8296
13.8500,-100.4000,0.8112,0.8112
13.4500,-101.4500,0.8124,0.8124
13.0500,-102.5000,0.8296,0.8296
12.7000,-103.5500,0.8124,0.8124
12.3000,-104.6000,0.8124,0.8124
11.9000,-105.6500,0.7962,0.7962
11.5500,-106.7000,0.8124,0.8124
11.1500,-107.7500,0.8308,0.8308
10.8000,-108.8000,0.7962,0.7962
10.4000,-109.8500,0.8124,0.8124
9.9500,-110.9000,0.8062,0.8062
9.3500,-111.9500,0.8259,0.8259
8.4500,-113.0000,0.8000,0.8000
7.4000,-113.7500,0.8296,0.8296
6.3500,-114.1500,0.7849,0.7849
5.3000,-114.3500,0.8050,0.8050
4.2500,-114.3000,0.8000,0.8000
3.2000,-114.1500,0.8112,0.8112
2.1500,-113.8000,0.8198,0.8198
1.1000,-113.3500,0.7962,0.7962
0.0500,-112.7000,0.8000,0.8000
-1.0000,-112.2000,0.7657,0.7657
-2.0500,-111.9000,0.7962,0.7962
-3.1000,-111.8000,0.8000,0.8000
-4.1500,-111.8500,0.7513,0.7513
-5.2000,-112.1000,0.8062,0.8062
-6.2500,-112.6000,0.8124,0.8124
-7.3000,-113.4000,0.8124,0.8124
-8.1500,-114.4000,0.8000,0.8000
-8.7500,-115.4500,0.8296,0.8296
-9.4000,-116.5000,0.7962,0.7962
-10.0000,-117.5500,0.7862,0.7862
-10.5500,-118.6000,0.8062,0.8062
-11.2000,-119.6500,0.8062,0.8062
-11.8000,-120.7000,0.8308,0.8308
-12.4000,-121.7500,0.8296,0.8296
-13.0500,-122.8000,0.8296,0.8296
-13.7000,-123.8500,0.8296,0.8296
-14.3000,-124.9000,0.8124,0.8124
-14.9500,-125.9500,0.8308,0.8308
-15.5500,-127.0000,0.8296,0.8296
-16.2500,-128.0500,0.8124,0.8124
-17.2500,-129.0500,0.8000,0.8000
-18.3000,-129.4500,0.8062,0.8062
-19.3500,-129.5500,0.8000,0.8000
-20.4000,-129.4000,0.7962,0.7962
-21.4000,-129.0500,0.8000,0.8000
-22.4500,-128.3500,0.8062,0.8062
-23.5000,-127.6500,0.8308,0.8308
-24.5000,-127.0000,0.8124,0.8124
-25.5500,-126.3500,0.7962,0.7962
-26.6000,-125.6500,0.8124,0.8124
